Jahr,Energieträger,CO2-Emissionen (Mt),Nicht gerundeter Wert (Mt)
1990,Brennstoffe,23.409,23.4088409539035
1990,Treibstoffe,15.449,15.4491830781084
1991,Brennstoffe,23.251,23.2508647438026
1991,Treibstoffe,15.929,15.9291182873447
1992,Brennstoffe,23.849,23.8486416497727
1992,Treibstoffe,16.259,16.2585739839915
1993,Brennstoffe,22.656,22.6555635646011
1993,Treibstoffe,15.217,15.2168569310758
1994,Brennstoffe,22.931,22.9309962146956
1994,Treibstoffe,15.399,15.3994934644429
1995,Brennstoffe,22.702,22.7024598374676
1995,Treibstoffe,15.101,15.1005792556581
1996,Brennstoffe,21.872,21.8724337824029
1996,Treibstoffe,15.16,15.1603802991533
1997,Brennstoffe,22.739,22.7394923442782
1997,Treibstoffe,15.736,15.7364012222237
1998,Brennstoffe,23.212,23.2117416464586
1998,Treibstoffe,15.964,15.9635530644151
1999,Brennstoffe,22.226,22.2262923026919
1999,Treibstoffe,16.569,16.5686443608428
2000,Brennstoffe,22.461,22.4614503218056
2000,Treibstoffe,16.836,16.8364619054554
2001,Brennstoffe,22.743,22.7430826369274
2001,Treibstoffe,16.559,16.5594894298454
2002,Brennstoffe,22.378,22.3778988775046
2002,Treibstoffe,16.514,16.5139078060435
2003,Brennstoffe,22.183,22.1825020578164
2003,Treibstoffe,16.683,16.6832641674477
2004,Brennstoffe,22.332,22.3323303647259
2004,Treibstoffe,16.809,16.8089067625261
2005,Brennstoffe,22.058,22.0581028668418
2005,Treibstoffe,16.893,16.8926949527344
2006,Brennstoffe,21.87,21.8704005096137
2006,Treibstoffe,17.03,17.029954451496
2007,Brennstoffe,21.473,21.4734775638869
2007,Treibstoffe,17.355,17.3545199250883
2008,Brennstoffe,20.874,20.8743790902275
2008,Treibstoffe,17.706,17.7057048965966
2009,Brennstoffe,20.364,20.3644771142418
2009,Treibstoffe,17.515,17.5146844187239
2010,Brennstoffe,20.081,20.0809192014044
2010,Treibstoffe,17.417,17.4171042931388
2011,Brennstoffe,19.542,19.5421072281977
2011,Treibstoffe,17.225,17.2246963681246
2012,Brennstoffe,19.203,19.203496216434
2012,Treibstoffe,17.347,17.3466069719127
2013,Brennstoffe,18.862,18.8615373863506
2013,Treibstoffe,17.258,17.2576046460133
2014,Brennstoffe,18.362,18.3616203250162
2014,Treibstoffe,17.154,17.1540834660966
2015,Brennstoffe,17.86,17.8604720539075
2015,Treibstoffe,16.415,16.4147799431993
2016,Brennstoffe,17.543,17.5432203420959
2016,Treibstoffe,16.247,16.246639568902
2017,Brennstoffe,17.207,17.2065691870665
2017,Treibstoffe,15.963,15.9628629448215
2018,Brennstoffe,16.796,16.7963008002405
2018,Treibstoffe,15.956,15.9555492234206
2019,Brennstoffe,16.436,16.4355294371483
2019,Treibstoffe,15.895,15.8945043183231
2020,Brennstoffe,16.117,16.1168503388347
2020,Treibstoffe,14.598,14.5980752146887
2021,Brennstoffe,15.746,15.7463144422352
2021,Treibstoffe,14.777,14.777176066368
2022,Brennstoffe,14.981,14.9809740495392
2022,Treibstoffe,14.613,14.6129515197184
2023,Brennstoffe,13.656,13.6562990399726
2023,Treibstoffe,14.639,14.6385734439246